term,index,definition
qualified broadband project,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-142_subsection-n,"means any project which— (A) is designed to provide broadband service solely to 1 or more census block groups in which more than 50 percent of residential households do not have access to fixed, terrestrial broadband service which delivers at least 25 megabits per second downstream and at least 3 megabits service upstream, and (B) results in internet access to residential locations, commercial locations, or a combination of residential and commercial locations at speeds not less than 100 megabits per second for downloads and 20 megabits for second for uploads, but only if at least 90 percent of the locations provided such access under the project are locations where, before the project, a broadband service provider— (i) did not provide service, or (ii) did not provide service meeting the minimum speed requirements described in subparagraph (A)."
vaccine,title-26_subtitle-D_chapter-32_subchapter-C_section-4132_subsection-a,means any substance designed to be administered to a human being for the prevention of 1 or more diseases.
educational institution,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-119_subsection-d,"means— (i) an institution described in section 170(b)(1)(A)(ii) (or an entity organized under State law and composed of public institutions so described), or (ii) an academic health center."
5-percent owner,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-m,"means any individual who, at any time during the 5 plan years preceding the plan year ending in the taxable year in which the amount is received, is a 5-percent owner (as defined in section 416(i)(1)(B))."
5-percent owner,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-280F_subsection-d,means any person who is a 5-percent owner with respect to the taxpayer (as defined in section 416(i)(1)(B)(i)).
5-percent owner,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-416_subsection-i,"means— (I) if the employer is a corporation, any person who owns (or is considered as owning within the meaning of section 318) more than 5 percent of the outstanding stock of the corporation or stock possessing more than 5 percent of the total combined voting power of all stock of the corporation, or (II) if the employer is not a corporation, any person who owns more than 5 percent of the capital or profits interest in the employer."
entity manager,title-26_subtitle-D_chapter-42_subchapter-F_section-4965_subsection-d,"means— (1) in the case of an entity described in paragraph (1), (2), or (3) of subsection (c)— (A) the person with authority or responsibility similar to that exercised by an officer, director, or trustee of an organization, and (B) with respect to any act, the person having authority or responsibility with respect to such act, and (2) in the case of an entity described in paragraph (4), (5), (6), or (7) of subsection (c), the person who approves or otherwise causes the entity to be a party to the prohibited tax shelter transaction."
electing corporation,title-26_subtitle-A_chapter-1_subchapter-R_section-1355_subsection-a,means any corporation for which an election is in effect under this subchapter.
qualified organization,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-41_subsection-e,"means any of the following organizations: (A) Educational institutions Any educational organization which— (i) is an institution of higher education (within the meaning of section 3304(f)), and (ii) is described in section 170(b)(1)(A)(ii)."
qualified organization,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-h,"means an organization which— (A) is described in clause (v) or (vi) of subsection (b)(1)(A), or (B) is described in section 501(c)(3) and— (i) meets the requirements of section 509(a)(2), or (ii) meets the requirements of section 509(a)(3) and is controlled by an organization described in subparagraph (A) or in clause (i) of this subparagraph."
qualified organization,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-402_subsection-g,"means any educational organization, hospital, home health service agency, health and welfare service agency, church, or convention or association of churches."
qualified organization,title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-514_subsection-c,means— (i) an organization described in section 170(b)(1)(A)(ii) and its affiliated support organizations described in section 509(a)(3); (ii) any trust which constitutes a qualified trust under section 401; (iii) an organization described in section 501(c)(25); or (iv) a retirement income account described in section 403(b)(9).
qualified organization,title-26_subtitle-B_chapter-11_subchapter-A_part-IV_section-2055_subsection-e,means any organization described in section 501(c)(3) other than a private foundation (as defined in section 509).
cogeneration facility,title-26_subtitle-F_chapter-79_section-7701_subsection-e,"means a facility which uses the same energy source for the sequential generation of electrical or mechanical power in combination with steam, heat, or other forms of useful energy."
recalcitrant account holder,title-26_subtitle-A_chapter-4_section-1471_subsection-d,"means any account holder which— (A) fails to comply with reasonable requests for the information referred to in subsection (b)(1)(A) or (c)(1)(A), or (B) fails to provide a waiver described in subsection (b)(1)(F) upon request."
