index,name,type,definition
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-49_subsection-a,qualified business property,concept,"means any property if— (I) such property is used by the corporation in the active conduct of a trade or business, (II) during the entire 12-month period ending on the last day of the taxable year, such corporation had at least 3 full-time employees who were not owner-employees (as defined in section 465(c)(7)(E)(i)) and substantially all the services of whom were services directly related to such trade or business, and (III) during the entire 12-month period ending on the last day of such taxable year, such corporation had at least 1 full-time employee substantially all of the services of whom were in the active management of the trade or business."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-G_section-971_subsection-e,export property,concept,"means any property or any interest in property manufactured, produced, grown, or extracted in the United States."
title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-432_subsection-j,funded percentage,concept,"means the percentage equal to a fraction— (A) the numerator of which is the value of the plan's assets, as determined under section 431(c)(2), and (B) the denominator of which is the accrued liability of the plan, determined using actuarial assumptions described in section 431(c)(3)."
title-26_subtitle-A_chapter-1_subchapter-R_section-1355_subsection-a,controlled group,entity,means any group which would be treated as a single employer under subsection (a) or (b) of section 52 if paragraphs (1) and (2) of section 52(a) did not apply.
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-181_subsection-d,compensation,entity,does not include participations and residuals (as defined in section 167(g)(7)(B)).
title-26_subtitle-D_chapter-43_section-4980B_subsection-g,plan administrator,entity,meaning given
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-402_subsection-g,years of service,concept,meaning given such term by section 403(b).
title-26_subtitle-D_chapter-44_section-4981_subsection-e,capital gain net income,concept,meaning given such term by section 1222(9) (determined by treating the calendar year as the trust's taxable year).
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-470_subsection-c,tax-exempt use property,concept,"meaning given to such term by section 168(h), except that such section shall be applied— (i) without regard to paragraphs (1)(C) and (3) thereof, and (ii) as if section 197 intangible property (as defined in section 197), and property described in paragraph (1)(B) or (2) of section 167(f), were tangible property."
title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1259_subsection-d,forward contract,concept,means a contract to deliver a substantially fixed amount of property (including cash) for a substantially fixed price.
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-952_subsection-c,qualified deficit,concept,"means any deficit in earnings and profits of the controlled foreign corporation for any prior taxable year which began after December 31, 1986, and for which the controlled foreign corporation was a controlled foreign corporation; but only to the extent such deficit— (I) is attributable to the same qualified activity as the activity giving rise to the income being offset, and (II) has not previously been taken into account under this subparagraph."
title-26_subtitle-B_chapter-14_section-2701_subsection-a,equity interest,concept,"means stock or any interest as a partner, as the case may be."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-41_subsection-e,qualified organization base period amount,concept,"means an amount equal to the sum of— (A) the minimum basic research amount, plus (B) the maintenance-of-effort amount."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-456_subsection-e,liability,concept,"means a liability to render services or make available membership privileges over a period of time which does not exceed 36 months, which liability shall be deemed to exist ratably over the period of time that such services are required to be rendered, or that such membership privileges are required to be made available."
title-26_subtitle-A_chapter-1_subchapter-K_part-II_subpart-A_section-724_subsection-d,unrealized receivable,concept,meaning given such term by section 751(c) (determined by treating any reference to the partnership as referring to the partner).
title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1363_subsection-d,inventory assets,concept,"means stock in trade of the corporation, or other property of a kind which would properly be included in the inventory of the corporation if on hand at the close of the taxable year."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-952_subsection-a,subpart f income,entity,"means, in the case of any controlled foreign corporation, the sum of— (1) insurance income (as defined under section 953), (2) the foreign base company income (as determined under section 954), (3) an amount equal to the product of— (A) the income of such corporation other than income which— (i) is attributable to earnings and profits of the foreign corporation included in the gross income of a United States person under section 951 (other than by reason of this paragraph), or (ii) is described in subsection (b), (B) the international boycott factor (as determined under section 999), (4) the sum of the amounts of any illegal bribes, kickbacks, or other payments (within the meaning of section 162(c)) paid by or on behalf of the corporation during the taxable year of the corporation directly or indirectly to an official, employee, or agent in fact of a government, and (5) the income of such corporation derived from any foreign country during any period during which section 901(j) applies to such foreign country."
